"Country","ISO code","ARIMA model fit","Expected 2020 coverage","Expected: 95% Confidence interval - lower bound","Expected: 95% Confidence interval - upper bound"
"Afghanistan","AFG","ARIMA(0,2,1)","73.6%","66.8%","80.4%"
"Albania","ALB","ARIMA(2,1,0)","99.0%","97.8%","100.2%"
"Algeria","DZA","ARIMA(0,1,0)","91.0%","86.6%","95.4%"
"Andorra","AND","ARIMA(0,0,1) with non-zero mean","98.2%","95.3%","101.1%"
"Angola","AGO","ARIMA(0,1,0)","57.0%","49.3%","64.7%"
"Antigua and Barbuda","ATG","ARIMA(1,0,0) with non-zero mean","96.1%","92.5%","99.7%"
"Argentina","ARG","ARIMA(2,0,0) with non-zero mean","85.3%","78.9%","91.7%"
"Armenia","ARM","ARIMA(1,0,0) with non-zero mean","92.1%","89.1%","95.2%"
"Australia","AUS","ARIMA(0,1,0)","95.0%","93.5%","96.5%"
"Austria","AUT","ARIMA(0,1,0)","85.0%","79.0%","91.0%"
"Azerbaijan","AZE","ARIMA(0,1,0) with drift","94.9%","91.1%","98.8%"
"Bahamas","BHS","ARIMA(1,0,0) with non-zero mean","90.2%","86.1%","94.2%"
"Bahrain","BHR","ARIMA(0,0,0) with non-zero mean","98.1%","96.6%","99.7%"
"Bangladesh","BGD","ARIMA(0,1,0)","98.0%","91.1%","104.9%"
"Barbados","BRB","ARIMA(0,0,0) with non-zero mean","90.6%","82.7%","98.4%"
"Belarus","BLR","ARIMA(0,0,0) with non-zero mean","95.5%","74.4%","116.6%"
"Belgium","BEL","ARIMA(0,1,0)","98.0%","96.7%","99.3%"
"Belize","BLZ","ARIMA(0,0,0) with non-zero mean","95.0%","89.6%","100.4%"
"Benin","BEN","ARIMA(0,0,0) with non-zero mean","75.7%","70.4%","81.0%"
"Bhutan","BTN","ARIMA(0,1,0)","97.0%","90.4%","103.6%"
"Bolivia (Plurinational State of)","BOL","ARIMA(1,0,0) with non-zero mean","76.6%","67.8%","85.5%"
"Bosnia and Herzegovina","BIH","ARIMA(2,1,0)","71.9%","64.7%","79.2%"
"Botswana","BWA","ARIMA(0,1,0)","95.0%","94.4%","95.6%"
"Brazil","BRA","ARIMA(1,2,0)","63.4%","54.6%","72.2%"
"Brunei Darussalam","BRN","ARIMA(1,0,0) with non-zero mean","98.4%","94.7%","102.2%"
"Bulgaria","BGR","ARIMA(0,1,0)","93.0%","89.1%","96.9%"
"Burkina Faso","BFA","ARIMA(1,2,0)","91.0%","84.1%","97.9%"
"Burundi","BDI","ARIMA(0,1,0)","93.0%","87.1%","98.9%"
"Cabo Verde","CPV","ARIMA(1,0,0) with non-zero mean","95.4%","90.4%","100.4%"
"Cambodia","KHM","ARIMA(0,1,0)","92.0%","80.2%","103.8%"
"Cameroon","CMR","ARIMA(1,0,0) with non-zero mean","67.4%","59.5%","75.3%"
"Canada","CAN","ARIMA(1,0,0) with non-zero mean","90.9%","88.0%","93.8%"
"Central African Republic","CAF","ARIMA(0,0,0) with non-zero mean","43.8%","31.4%","56.3%"
"Chad","TCD","ARIMA(0,1,0)","50.0%","35.8%","64.2%"
"Chile","CHL","ARIMA(0,0,1) with non-zero mean","94.6%","90.7%","98.5%"
"China","CHN","ARIMA(0,1,0) with drift","99.0%","96.5%","102.9%"
"Colombia","COL","ARIMA(1,0,0) with non-zero mean","92.8%","86.1%","99.5%"
"Comoros","COM","ARIMA(0,1,0)","91.0%","78.4%","103.6%"
"Congo","COG","ARIMA(0,1,0)","79.0%","64.6%","93.4%"
"Costa Rica","CRI","ARIMA(0,1,0)","95.0%","88.8%","101.2%"
"Cote d'Ivoire","CIV","ARIMA(0,1,0)","84.0%","69.0%","99.0%"
"Croatia","HRV","ARIMA(1,0,0) with non-zero mean","94.1%","92.4%","95.8%"
"Cuba","CUB","ARIMA(0,1,0)","99.0%","84.6%","113.4%"
"Cyprus","CYP","ARIMA(0,0,0) with non-zero mean","97.8%","95.9%","99.8%"
"Czechia","CZE","ARIMA(1,0,0) with non-zero mean","97.2%","95.9%","98.5%"
"Democratic People's Republic of Korea","PRK","ARIMA(0,2,0)","97.0%","91.3%","102.7%"
"Democratic Republic of the Congo","COD","ARIMA(0,1,0)","57.0%","43.0%","71.0%"
"Denmark","DNK","ARIMA(1,0,0) with non-zero mean","96.6%","92.6%","100.5%"
"Djibouti","DJI","ARIMA(0,1,0)","85.0%","71.0%","99.0%"
"Dominica","DMA","ARIMA(0,0,0) with non-zero mean","97.2%","93.1%","101.4%"
"Dominican Republic","DOM","ARIMA(0,1,1)","89.0%","80.1%","97.8%"
"Ecuador","ECU","ARIMA(1,0,1) with non-zero mean","85.2%","80.6%","89.9%"
"Egypt","EGY","ARIMA(2,1,0)","94.6%","92.1%","97.1%"
"El Salvador","SLV","ARIMA(0,0,1) with non-zero mean","87.3%","77.5%","97.2%"
"Equatorial Guinea","GNQ","ARIMA(0,1,0)","53.0%","44.3%","61.7%"
"Eritrea","ERI","ARIMA(1,0,1) with non-zero mean","94.8%","91.1%","98.5%"
"Estonia","EST","ARIMA(0,1,0)","91.0%","89.4%","92.6%"
"Eswatini","SWZ","ARIMA(0,1,0)","90.0%","85.5%","94.5%"
"Ethiopia","ETH","ARIMA(0,1,0) with drift","70.0%","65.8%","74.2%"
"Fiji","FJI","ARIMA(0,2,0)","99.0%","98.0%","100.0%"
"Finland","FIN","ARIMA(0,1,0)","91.0%","88.0%","94.0%"
"France","FRA","ARIMA(1,0,0) with non-zero mean","96.2%","95.0%","97.4%"
"Gabon","GAB","ARIMA(0,1,0)","70.0%","51.1%","88.9%"
"Gambia","GMB","ARIMA(0,2,1)","86.5%","80.5%","92.5%"
"Georgia","GEO","ARIMA(0,1,0)","94.0%","85.0%","103.0%"
"Germany","DEU","ARIMA(1,0,0) with non-zero mean","93.1%","90.6%","95.6%"
"Ghana","GHA","ARIMA(0,1,0)","97.0%","87.5%","106.5%"
"Greece","GRC","ARIMA(0,2,1)","99.0%","97.9%","100.1%"
"Grenada","GRD","ARIMA(0,0,0) with non-zero mean","95.4%","88.2%","102.7%"
"Guatemala","GTM","ARIMA(1,0,0) with non-zero mean","84.9%","74.7%","95.2%"
"Guinea","GIN","ARIMA(1,0,0) with non-zero mean","47.8%","40.1%","55.4%"
"Guinea-Bissau","GNB","ARIMA(1,2,0)","79.6%","75.5%","83.7%"
"Guyana","GUY","ARIMA(0,1,1) with drift","98.8%","94.4%","103.1%"
"Haiti","HTI","ARIMA(0,2,0)","38.0%","31.4%","44.6%"
"Honduras","HND","ARIMA(1,0,0) with non-zero mean","89.7%","85.1%","94.3%"
"Hungary","HUN","ARIMA(0,0,0) with non-zero mean","99.0%","99.0%","99.0%"
"Iceland","ISL","ARIMA(0,1,0)","92.0%","86.8%","97.2%"
"India","IND","ARIMA(0,1,0) with drift","92.7%","89.3%","96.2%"
"Indonesia","IDN","ARIMA(0,1,0)","85.0%","79.3%","90.7%"
"Iran (Islamic Republic of)","IRN","ARIMA(0,0,0) with non-zero mean","98.5%","96.3%","100.7%"
"Iraq","IRQ","ARIMA(1,0,0) with non-zero mean","81.3%","70.1%","92.5%"
"Ireland","IRL","ARIMA(0,1,1)","94.4%","92.2%","96.5%"
"Israel","ISR","ARIMA(0,1,0)","98.0%","94.7%","101.3%"
"Italy","ITA","ARIMA(1,0,0) with non-zero mean","95.6%","91.9%","99.2%"
"Jamaica","JAM","ARIMA(0,0,0) with non-zero mean","94.7%","88.8%","100.7%"
"Japan","JPN","ARIMA(1,0,0) with non-zero mean","97.5%","92.4%","102.6%"
"Jordan","JOR","ARIMA(0,0,0) with non-zero mean","96.7%","91.5%","101.9%"
"Kazakhstan","KAZ","ARIMA(0,0,0) with non-zero mean","95.9%","86.0%","105.9%"
"Kenya","KEN","ARIMA(0,1,0)","91.0%","81.0%","101.0%"
"Kiribati","KIR","ARIMA(1,0,0) with non-zero mean","92.7%","76.9%","108.5%"
"Kuwait","KWT","ARIMA(1,0,0) with non-zero mean","93.8%","89.3%","98.2%"
"Kyrgyzstan","KGZ","ARIMA(0,0,1) with non-zero mean","95.3%","91.9%","98.8%"
"Lao People's Democratic Republic","LAO","ARIMA(0,1,0)","80.0%","70.6%","89.4%"
"Latvia","LVA","ARIMA(1,0,0) with non-zero mean","98.2%","94.6%","101.8%"
"Lebanon","LBN","ARIMA(1,1,0)","83.0%","80.8%","85.2%"
"Lesotho","LSO","ARIMA(2,0,0) with non-zero mean","87.8%","82.4%","93.2%"
"Liberia","LBR","ARIMA(0,1,0)","70.0%","51.2%","88.8%"
"Libya","LBY","ARIMA(1,0,0) with non-zero mean","76.5%","65.7%","87.3%"
"Lithuania","LTU","ARIMA(2,0,0) with non-zero mean","93.2%","91.0%","95.4%"
"Luxembourg","LUX","ARIMA(0,0,0) with non-zero mean","99.0%","98.5%","99.4%"
"Madagascar","MDG","ARIMA(1,0,0) with non-zero mean","69.7%","60.0%","79.4%"
"Malawi","MWI","ARIMA(0,0,0) with non-zero mean","88.9%","73.4%","104.4%"
"Malaysia","MYS","ARIMA(0,1,1)","97.9%","95.1%","100.6%"
"Maldives","MDV","ARIMA(0,0,1) with non-zero mean","97.9%","96.1%","99.7%"
"Mali","MLI","ARIMA(2,0,0) with non-zero mean","75.5%","67.4%","83.5%"
"Malta","MLT","ARIMA(2,0,0) with non-zero mean","96.6%","86.2%","107.0%"
"Marshall Islands","MHL","ARIMA(1,0,0) with non-zero mean","77.6%","56.1%","99.1%"
"Mauritania","MRT","ARIMA(0,0,0) with non-zero mean","74.1%","58.0%","90.3%"
"Mauritius","MUS","ARIMA(1,0,0) with non-zero mean","95.9%","90.1%","101.6%"
"Mexico","MEX","ARIMA(0,1,0)","82.0%","72.7%","91.3%"
"Micronesia (Federated States of)","FSM","ARIMA(0,0,0) with non-zero mean","80.2%","65.8%","94.7%"
"Monaco","MCO","ARIMA(0,0,0) with non-zero mean","99.0%","99.0%","99.0%"
"Mongolia","MNG","ARIMA(1,0,0) with non-zero mean","97.8%","95.0%","100.6%"
"Morocco","MAR","ARIMA(0,1,0)","99.0%","95.2%","102.8%"
"Mozambique","MOZ","ARIMA(0,1,0)","88.0%","82.0%","94.0%"
"Myanmar","MMR","ARIMA(0,1,0)","90.0%","78.7%","101.3%"
"Namibia","NAM","ARIMA(0,1,0)","87.0%","81.4%","92.6%"
"Nauru","NRU","ARIMA(0,1,0)","96.0%","66.4%","125.6%"
"Nepal","NPL","ARIMA(0,1,1) with drift","94.8%","86.7%","102.8%"
"Netherlands","NLD","ARIMA(0,1,0)","94.0%","92.5%","95.5%"
"New Zealand","NZL","ARIMA(0,1,0)","92.0%","89.5%","94.5%"
"Nicaragua","NIC","ARIMA(0,1,0)","98.0%","92.2%","103.8%"
"Niger","NER","ARIMA(0,1,0) with drift","83.5%","75.5%","91.4%"
"Nigeria","NGA","ARIMA(0,1,0)","57.0%","46.2%","67.8%"
"Norway","NOR","ARIMA(0,1,0)","97.0%","94.6%","99.4%"
"Oman","OMN","ARIMA(0,0,0) with non-zero mean","98.8%","98.0%","99.6%"
"Pakistan","PAK","ARIMA(0,1,0)","84.0%","76.4%","91.6%"
"Palau","PLW","ARIMA(1,0,0) with non-zero mean","94.6%","73.4%","115.7%"
"Panama","PAN","ARIMA(0,1,0)","88.0%","78.0%","98.0%"
"Papua New Guinea","PNG","ARIMA(0,1,0)","35.0%","23.1%","46.9%"
"Paraguay","PRY","ARIMA(0,0,1) with non-zero mean","88.1%","83.0%","93.1%"
"Peru","PER","ARIMA(0,0,0) with non-zero mean","90.1%","80.4%","99.8%"
"Philippines","PHL","ARIMA(1,0,0) with non-zero mean","79.5%","63.3%","95.7%"
"Poland","POL","ARIMA(0,2,1)","94.5%","93.3%","95.7%"
"Portugal","PRT","ARIMA(0,1,0)","99.0%","95.9%","102.1%"
"Qatar","QAT","ARIMA(0,0,0) with non-zero mean","94.9%","86.3%","103.5%"
"Republic of Korea","KOR","ARIMA(0,0,0) with non-zero mean","96.4%","90.7%","102.1%"
"Republic of Moldova","MDA","ARIMA(0,1,0)","91.0%","85.6%","96.4%"
"Republic of North Macedonia","MKD","ARIMA(0,0,0) with non-zero mean","94.4%","90.4%","98.4%"
"Romania","ROU","ARIMA(0,1,0)","88.0%","82.8%","93.2%"
"Russian Federation","RUS","ARIMA(1,0,0) with non-zero mean","97.0%","96.0%","98.0%"
"Rwanda","RWA","ARIMA(0,1,1)","97.7%","89.0%","106.5%"
"Saint Kitts and Nevis","KNA","ARIMA(0,0,0) with non-zero mean","97.8%","95.2%","100.4%"
"Saint Lucia","LCA","ARIMA(1,1,0)","94.5%","78.9%","110.1%"
"Saint Vincent and the Grenadines","VCT","ARIMA(0,0,1) with non-zero mean","98.2%","96.5%","99.9%"
"Samoa","WSM","ARIMA(1,0,0) with non-zero mean","64.4%","34.8%","94.0%"
"San Marino","SMR","ARIMA(0,1,0)","88.0%","84.5%","91.5%"
"Sao Tome and Principe","STP","ARIMA(1,0,0) with non-zero mean","94.7%","89.5%","99.9%"
"Saudi Arabia","SAU","ARIMA(0,1,0)","96.0%","94.1%","97.9%"
"Senegal","SEN","ARIMA(0,1,0) with drift","97.3%","87.1%","107.4%"
"Serbia","SRB","ARIMA(0,0,0) with non-zero mean","93.7%","88.7%","98.6%"
"Seychelles","SYC","ARIMA(0,0,1) with non-zero mean","98.5%","96.6%","100.3%"
"Sierra Leone","SLE","ARIMA(0,1,0)","95.0%","80.1%","109.9%"
"Singapore","SGP","ARIMA(0,0,0) with non-zero mean","96.2%","94.4%","98.0%"
"Slovakia","SVK","ARIMA(1,1,0)","97.6%","96.9%","98.4%"
"Slovenia","SVN","ARIMA(1,0,0) with non-zero mean","94.9%","92.8%","96.9%"
"Solomon Islands","SLB","ARIMA(0,0,0) with non-zero mean","86.9%","76.3%","97.5%"
"Somalia","SOM","ARIMA(1,1,0)","42.0%","32.7%","51.3%"
"South Africa","ZAF","ARIMA(0,1,0)","85.0%","77.7%","92.3%"
"Spain","ESP","ARIMA(0,0,0) with non-zero mean","96.5%","94.8%","98.3%"
"Sri Lanka","LKA","ARIMA(2,1,0)","99.0%","97.7%","100.3%"
"State of Palestine","PSE","ARIMA(0,1,0)","99.0%","95.8%","102.2%"
"Sudan","SDN","ARIMA(0,1,0) with drift","94.6%","86.8%","102.5%"
"Suriname","SUR","ARIMA(1,0,0) with non-zero mean","77.4%","65.9%","88.9%"
"Sweden","SWE","ARIMA(0,1,0)","98.0%","97.0%","99.0%"
"Switzerland","CHE","ARIMA(0,1,0) with drift","96.2%","95.4%","96.9%"
"Syrian Arab Republic","SYR","ARIMA(0,1,0)","54.0%","40.4%","67.6%"
"Tajikistan","TJK","ARIMA(0,1,0)","97.0%","92.8%","101.2%"
"Thailand","THA","ARIMA(1,0,0) with non-zero mean","97.2%","95.8%","98.6%"
"Togo","TGO","ARIMA(0,1,0)","84.0%","72.7%","95.3%"
"Tonga","TON","ARIMA(1,0,0) with non-zero mean","98.1%","93.6%","102.6%"
"Trinidad and Tobago","TTO","ARIMA(0,0,0) with non-zero mean","92.3%","86.6%","98.1%"
"Tunisia","TUN","ARIMA(0,1,0)","92.0%","89.3%","94.7%"
"Turkey","TUR","ARIMA(0,1,0)","99.0%","88.2%","109.8%"
"Turkmenistan","TKM","ARIMA(0,0,0) with non-zero mean","96.9%","90.1%","103.6%"
"Tuvalu","TUV","ARIMA(0,0,0) with non-zero mean","93.4%","84.8%","102.1%"
"Uganda","UGA","ARIMA(1,1,0) with drift","96.2%","91.4%","101.0%"
"Ukraine","UKR","ARIMA(0,1,0)","80.0%","45.9%","114.1%"
"United Arab Emirates","ARE","ARIMA(0,1,0)","99.0%","96.9%","101.1%"
"United Kingdom","GBR","ARIMA(0,1,0)","93.0%","91.7%","94.3%"
"United Republic of Tanzania","TZA","ARIMA(1,0,0) with non-zero mean","89.0%","81.6%","96.4%"
"United States","USA","ARIMA(1,0,0) with non-zero mean","94.3%","92.9%","95.8%"
"Uruguay","URY","ARIMA(0,0,1) with non-zero mean","94.9%","92.1%","97.7%"
"Uzbekistan","UZB","ARIMA(0,0,1) with non-zero mean","96.8%","95.1%","98.6%"
"Vanuatu","VUT","ARIMA(0,1,0) with drift","91.0%","86.3%","95.7%"
"Venezuela (Bolivarian Republic of)","VEN","ARIMA(0,0,1) with non-zero mean","71.4%","52.3%","90.4%"
"Viet Nam","VNM","ARIMA(0,0,0) with non-zero mean","91.1%","71.6%","110.6%"
"Yemen","YEM","ARIMA(2,0,1) with non-zero mean","76.4%","69.6%","83.3%"
"Zambia","ZMB","ARIMA(0,0,1) with non-zero mean","86.3%","78.9%","93.7%"
"Zimbabwe","ZWE","ARIMA(0,1,0)","90.0%","81.1%","98.9%"
