unicef_region,iso3,country,vaccine,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000,1999,1998,1997,1996,1995,1994,1993,1992,1991,1990,1989,1988,1987,1986,1985,1984,1983,1982,1981,1980
ESAR,LSO,Lesotho,DTP1,92,92,92,92,92,92,89,94,98,98,97,97,96,96,96,96,95,95,95,89,83,87,90,92,93,94,95,94,94,93,92,91,91,90,89,91,92,88,83,79,75,75
WCAR,LBR,Liberia,DTP1,81,82,86,91,89,83,77,74,91,91,86,80,90,85,80,75,75,65,69,73,76,80,84,,,,,,,,,,,,,,,,,,,
MENA,LBY,Libya,DTP1,74,74,74,74,99,98,98,96,98,99,99,98,98,98,98,98,98,99,99,97,96,97,97,98,98,98,98,98,98,96,95,94,95,94,94,94,93,93,92,89,86,82
Non-programme,LTU,Lithuania,DTP1,93,95,96,95,97,97,97,97,97,97,95,98,98,96,99,98,98,94,98,98,98,99,98,97,96,97,96,94,94,92,,,,,,,,,,,,
Non-programme,LUX,Luxembourg,DTP1,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,98,98,98,98,98,98,97,97,97,96,96,96,98,95,91,87,91,,,
ESAR,MDG,Madagascar,DTP1,65,73,76,73,71,74,71,77,76,78,80,78,80,84,92,93,88,82,79,76,75,74,73,73,73,73,80,86,86,85,77,71,70,67,60,55,47,42,47,37,,
ESAR,MWI,Malawi,DTP1,95,95,97,96,93,89,93,97,96,99,98,97,97,97,96,99,99,99,99,94,99,98,98,98,98,96,96,94,97,95,95,95,95,94,92,80,78,80,84,84,86,80
EAPR,MYS,Malaysia,DTP1,98,99,99,99,99,98,99,99,99,99,98,98,99,99,99,98,98,98,98,98,98,99,99,99,98,98,98,95,91,92,93,95,92,76,78,73,68,67,71,90,86,86
ROSA,MDV,Maldives,DTP1,97,99,99,99,99,99,99,99,99,99,97,97,99,99,99,98,99,98,98,98,99,98,99,98,98,98,99,98,93,99,98,97,97,95,67,67,53,48,35,18,18,22
WCAR,MLI,Mali,DTP1,82,75,82,82,82,82,78,73,69,75,80,81,82,85,89,91,96,94,91,87,78,61,67,73,79,77,73,64,71,63,59,67,51,41,28,28,28,,,,,
Non-programme,MLT,Malta,DTP1,99,99,98,99,98,97,98,99,99,99,99,97,91,88,84,85,94,92,96,95,98,97,97,97,97,97,97,96,94,94,95,84,72,95,95,95,62,74,,,,
EAPR,MHL,Marshall Islands,DTP1,97,97,96,97,97,87,95,97,97,97,99,99,99,99,99,90,89,71,90,90,99,64,85,95,92,92,88,86,79,94,88,97,97,97,,,,,,,,
WCAR,MRT,Mauritania,DTP1,75,80,88,86,86,87,87,95,95,95,91,82,79,88,92,85,85,83,91,96,76,73,70,56,69,89,93,88,82,76,65,69,63,62,55,57,52,45,44,44,41,
ESAR,MUS,Mauritius,DTP1,93,94,97,98,96,97,98,97,99,99,99,99,99,99,97,99,99,98,99,96,92,88,91,93,96,96,97,96,96,96,97,95,95,95,94,95,96,95,96,97,94,96
LACR,MEX,Mexico,DTP1,83,77,84,90,93,96,99,95,90,99,99,96,98,98,99,99,99,99,99,99,99,99,99,98,98,98,97,97,94,96,96,77,85,82,83,75,65,76,66,65,68,69
EAPR,FSM,Micronesia (Federated States of),DTP1,95,98,97,97,97,95,95,97,98,97,96,90,97,87,86,83,98,81,97,87,90,92,92,91,91,92,94,93,92,97,92,95,98,95,80,,,,,,,
Non-programme,MCO,Monaco,DTP1,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,98,98,99,99,99,,,,,,,,
EAPR,MNG,Mongolia,DTP1,97,98,99,99,99,99,99,99,98,99,99,98,95,98,95,99,99,99,98,99,95,95,95,96,97,96,96,92,93,93,93,94,94,94,93,93,93,91,92,92,92,91
ECAR,MNE,Montenegro,DTP1,94,94,94,94,95,97,96,97,98,98,98,97,96,98,98,95,,,,,,,,,,,,,,,,,,,,,,,,,,
MENA,MAR,Morocco,DTP1,99,99,99,99,99,99,99,99,99,99,99,99,99,99,98,99,99,99,94,98,97,98,93,99,99,91,94,92,90,95,93,93,93,94,95,84,75,70,66,57,,
ESAR,MOZ,Mozambique,DTP1,67,83,91,91,92,92,93,93,93,92,92,91,89,87,85,86,87,88,89,88,86,84,82,80,78,76,75,74,73,74,71,71,72,63,64,57,54,57,63,68,79,
EAPR,MMR,Myanmar,DTP1,45,87,93,95,94,94,94,92,90,89,88,93,93,88,89,86,76,86,80,81,81,87,87,92,96,96,94,91,96,95,94,96,74,53,47,44,39,33,32,29,24,22
ESAR,NAM,Namibia,DTP1,97,97,92,94,94,90,98,92,94,89,88,87,87,88,88,91,93,88,87,86,88,90,90,88,86,88,90,92,90,88,87,,,,,,,,,,,
EAPR,NRU,Nauru,DTP1,99,99,99,99,99,99,98,99,99,98,99,99,99,99,99,98,90,93,97,99,98,85,81,78,74,77,79,82,84,86,88,90,91,86,78,82,86,86,,,,
ROSA,NPL,Nepal,DTP1,92,89,96,96,96,95,94,94,94,90,96,85,94,84,85,93,81,88,82,84,84,84,91,92,92,85,77,77,75,73,71,68,69,70,71,63,57,52,47,41,39,28
Non-programme,NLD,Netherlands,DTP1,98,98,98,97,98,98,98,98,99,99,99,99,99,99,99,98,98,99,99,99,99,99,99,99,99,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98
Non-programme,NZL,New Zealand,DTP1,93,94,94,95,95,92,93,93,93,94,95,95,94,91,91,92,92,91,91,90,96,96,91,93,95,96,96,94,94,93,93,96,93,87,86,88,89,94,90,90,89,91
LACR,NIC,Nicaragua,DTP1,88,94,99,99,99,99,99,99,99,99,99,99,99,99,94,94,92,80,86,88,92,97,96,94,93,93,93,93,93,93,91,88,87,72,75,70,64,58,48,52,47,39
WCAR,NER,Niger,DTP1,94,93,92,91,95,92,93,95,89,87,86,83,81,76,68,63,58,56,53,51,48,46,43,44,45,44,42,41,39,38,36,46,35,29,27,24,22,24,24,25,25,
WCAR,NGA,Nigeria,DTP1,70,70,68,67,65,62,49,48,50,51,56,60,73,63,52,49,48,46,45,43,42,42,41,48,70,51,59,69,54,68,64,79,72,61,54,46,39,29,,,,
EAPR,NIU,Niue,DTP1,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,95,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,93,83,68,56,44,28,27
Non-programme,NOR,Norway,DTP1,98,98,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,98,98,97,97,98,98,95,94,94,93,94,95,96,96,,,
MENA,OMN,Oman,DTP1,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,98,99,99,99,99,99,99,99,99,99,99,99,98,98,99,98,98,98,96,96,94,82,70,56,48,42,41
ROSA,PAK,Pakistan,DTP1,90,83,90,87,83,82,82,80,78,78,77,67,67,69,70,72,73,75,74,72,71,69,68,66,65,62,73,64,62,67,74,77,65,63,61,59,55,47,37,24,21,20
EAPR,PLW,Palau,DTP1,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,98,98,99,99,99,98,98,96,96,97,98,99,86,96,97,98,99,92,99,93,98,,,,,,
LACR,PAN,Panama,DTP1,93,93,97,97,96,96,96,96,93,99,98,96,95,93,97,96,95,98,99,99,99,99,96,99,98,97,95,94,94,91,94,95,88,91,89,88,90,81,82,82,92,72
EAPR,PNG,Papua New Guinea,DTP1,39,48,44,44,46,64,62,68,71,71,70,70,71,64,72,83,80,81,88,81,77,84,82,85,87,80,97,91,93,82,93,97,77,72,69,69,65,59,52,54,57,57
LACR,PRY,Paraguay,DTP1,79,84,88,91,95,94,96,95,97,94,95,95,94,96,99,99,97,94,95,95,96,95,85,88,91,89,87,88,86,90,86,86,82,79,80,77,80,86,70,59,53,40
LACR,PER,Peru,DTP1,90,93,97,90,90,94,97,98,97,99,94,97,97,97,93,96,94,93,98,98,91,99,99,94,96,97,96,95,95,94,88,89,80,82,68,74,72,53,47,47,44,39
EAPR,PHL,Philippines,DTP1,57,74,73,78,82,87,82,86,90,94,93,92,92,91,90,90,91,92,86,84,92,92,91,91,90,82,76,81,86,91,96,96,95,92,90,86,81,80,78,77,77,72
Non-programme,POL,Poland,DTP1,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,98,98,98,98,98,98,98,98,98,98,98,97,98,98,98,98,98
Non-programme,PRT,Portugal,DTP1,99,99,99,99,99,99,99,99,99,99,97,99,97,99,99,99,94,98,99,98,99,99,98,98,97,98,97,98,97,97,98,96,96,93,94,93,89,92,92,92,91,90
MENA,QAT,Qatar,DTP1,99,96,99,99,98,99,99,99,99,95,94,98,99,97,96,99,99,99,96,96,95,92,94,95,97,97,97,97,96,96,95,94,93,87,89,89,88,82,73,62,68,82
EAPR,KOR,Republic of Korea,DTP1,98,98,98,98,98,98,98,99,99,99,99,96,96,95,95,98,98,95,97,97,97,97,96,94,93,96,99,97,96,94,92,90,96,80,80,91,91,91,87,82,82,
ECAR,MDA,Republic of Moldova,DTP1,87,86,91,96,91,94,88,94,96,97,96,93,88,96,95,97,98,99,99,99,97,98,99,99,98,98,98,95,88,94,,,,,,,,,,,,
ECAR,MKD,Republic of North Macedonia,DTP1,89,93,98,98,97,97,98,98,99,98,97,97,96,96,95,95,99,96,99,99,95,98,98,98,98,97,98,96,96,,,,,,,,,,,,,
ECAR,ROU,Romania,DTP1,95,95,96,94,94,94,95,95,95,95,96,96,96,96,97,97,97,97,98,98,99,99,99,99,99,98,98,98,97,98,98,98,98,98,97,96,98,,,,,
ECAR,RUS,Russian Federation,DTP1,97,97,97,97,97,97,97,97,97,97,97,97,99,99,99,99,99,97,97,97,97,97,97,96,96,94,92,96,92,89,,,,,,,,,,,,
ESAR,RWA,Rwanda,DTP1,90,91,99,98,99,99,99,99,99,99,98,98,98,97,99,99,95,94,97,95,94,93,93,92,90,96,94,47,94,95,97,94,94,93,96,95,74,78,81,63,40,
LACR,KNA,Saint Kitts and Nevis,DTP1,97,99,98,99,99,99,98,99,98,99,99,98,99,99,99,99,99,98,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,97,98,99,97,98,96,97,86,79
LACR,LCA,Saint Lucia,DTP1,89,90,99,99,89,95,99,99,99,99,99,98,99,99,99,94,99,99,90,99,99,76,96,91,98,96,98,97,98,98,98,96,97,92,95,92,95,94,93,92,84,79
LACR,VCT,Saint Vincent and the Grenadines,DTP1,99,99,99,97,99,99,99,99,99,98,98,99,99,99,99,99,99,99,99,99,99,99,98,99,99,99,98,99,99,99,99,98,98,98,98,98,96,95,93,86,57,51
EAPR,WSM,Samoa,DTP1,96,99,97,67,78,90,85,86,88,88,91,91,86,48,85,80,87,91,96,99,99,99,97,99,98,98,97,97,97,97,92,96,86,96,97,97,96,98,96,95,86,54
Non-programme,SMR,San Marino,DTP1,91,92,90,94,88,93,87,87,88,91,94,91,91,91,92,93,97,96,97,98,98,98,99,99,99,99,99,96,99,99,99,99,99,99,99,99,99,99,99,,,
WCAR,STP,Sao Tome and Principe,DTP1,97,97,97,97,96,97,98,98,99,98,98,98,99,99,99,99,99,99,98,94,97,89,90,89,90,87,92,94,82,87,95,97,84,91,89,85,72,73,51,59,67,
MENA,SAU,Saudi Arabia,DTP1,97,96,96,96,99,98,98,99,98,98,99,98,98,98,97,97,97,96,96,97,99,95,94,95,94,97,98,98,97,97,97,97,98,96,96,95,93,91,86,83,77,66
WCAR,SEN,Senegal,DTP1,87,93,97,96,97,96,94,94,96,96,97,96,94,94,97,99,97,95,81,70,79,79,78,79,81,88,93,80,80,77,75,75,72,81,80,77,,,,,,
ECAR,SRB,Serbia,DTP1,97,97,99,98,98,97,98,97,98,97,98,97,98,98,98,97,99,91,91,98,95,97,97,97,97,97,96,95,95,94,,,,,,,,,,,,
ESAR,SYC,Seychelles,DTP1,99,99,99,99,98,98,99,99,99,98,99,99,99,99,99,99,99,99,99,99,99,99,99,99,98,99,98,98,98,98,98,99,98,97,96,97,95,98,98,78,35,
WCAR,SLE,Sierra Leone,DTP1,94,93,95,97,98,97,95,88,98,98,97,95,94,84,77,79,80,82,90,89,58,64,68,,,,,,,,,,,,,,,,,,,
EAPR,SGP,Singapore,DTP1,98,98,98,98,98,98,98,98,98,98,97,98,98,98,98,96,96,96,96,98,98,98,98,98,98,94,98,95,97,96,97,95,96,96,98,97,92,91,94,94,95,94
Non-programme,SVK,Slovakia,DTP1,97,98,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,,,,,,,,,,,,,,
Non-programme,SVN,Slovenia,DTP1,92,98,98,97,98,98,98,98,98,98,98,98,98,99,99,99,98,98,98,96,96,96,96,97,97,98,98,98,98,98,,,,,,,,,,,,
EAPR,SLB,Solomon Islands,DTP1,95,98,99,86,87,99,93,83,88,96,97,90,88,85,93,99,93,91,86,82,84,95,96,88,89,89,87,87,85,88,91,91,86,87,86,67,63,70,52,47,60,71
ESAR,SOM,Somalia,DTP1,52,52,52,52,52,52,52,52,52,52,52,55,52,40,59,40,50,50,65,60,57,57,59,51,42,45,46,47,46,45,44,42,41,51,50,40,46,31,24,24,20,
ESAR,ZAF,South Africa,DTP1,91,88,87,84,85,88,91,88,81,72,80,80,81,93,95,94,83,80,77,80,82,85,88,90,93,90,89,90,93,92,93,89,88,88,89,88,91,91,90,,,
ESAR,SSD,South Sudan,DTP1,51,51,51,51,55,58,55,62,67,76,79,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Non-programme,ESP,Spain,DTP1,96,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,96,96,96,95,94,95,95,97,97,91,96,92,98,,,,
ROSA,LKA,Sri Lanka,DTP1,96,96,99,99,99,99,99,99,99,99,99,99,97,99,99,99,99,98,99,99,99,99,99,97,98,97,97,96,96,96,95,95,95,94,91,91,88,86,84,80,70,71
MENA,PSE,State of Palestine,DTP1,99,99,99,99,99,99,99,99,99,98,99,99,99,99,99,99,99,99,99,99,97,95,96,99,98,98,99,98,97,,,,,,,,,,,,,
MENA,SDN,Sudan,DTP1,94,96,97,97,98,97,97,98,97,97,97,99,92,96,95,91,88,82,83,75,79,75,66,71,78,79,72,71,75,77,83,83,82,65,52,36,28,22,21,20,18,18
LACR,SUR,Suriname,DTP1,81,60,81,83,78,80,74,78,81,90,84,96,91,95,96,94,93,92,81,86,90,88,90,93,95,93,94,90,91,90,91,94,89,84,88,93,94,93,95,82,52,50
Non-programme,SWE,Sweden,DTP1,98,98,98,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99
Non-programme,CHE,Switzerland,DTP1,97,98,98,98,98,98,97,97,96,96,98,95,95,95,95,95,95,95,95,95,95,95,95,93,93,93,93,93,93,93,93,96,96,96,96,96,,,,,,
MENA,SYR,Syrian Arab Republic,DTP1,65,65,72,67,63,61,62,65,55,68,86,89,89,88,88,88,88,89,90,92,90,90,93,94,95,96,96,97,98,95,95,93,99,83,71,90,54,50,45,37,36,35
ECAR,TJK,Tajikistan,DTP1,97,98,98,98,98,98,97,98,98,96,98,95,96,92,88,92,92,93,92,92,89,88,88,87,85,80,86,93,84,89,,,,,,,,,,,,
EAPR,THA,Thailand,DTP1,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,98,98,98,99,98,98,97,98,97,96,95,96,97,96,93,91,86,83,77,73,73,76,73
EAPR,TLS,Timor-Leste,DTP1,87,87,90,92,92,86,80,81,87,84,70,76,77,85,76,71,64,65,65,68,,,,,,,,,,,,,,,,,,,,,,
WCAR,TGO,Togo,DTP1,88,87,90,88,88,89,88,89,94,94,94,97,93,92,94,91,91,83,83,75,63,80,81,74,67,70,74,77,80,83,87,90,93,84,92,59,48,32,41,36,29,
EAPR,TON,Tonga,DTP1,99,99,99,99,99,97,99,99,99,95,99,99,99,99,99,99,99,99,99,96,99,99,99,98,98,99,98,96,98,99,96,97,97,97,99,91,97,75,84,76,62,65
LACR,TTO,Trinidad and Tobago,DTP1,95,98,97,99,96,97,98,93,94,97,96,96,95,91,90,93,98,98,93,98,91,90,92,94,96,96,96,95,93,95,94,94,91,94,92,88,91,85,82,77,83,51
MENA,TUN,Tunisia,DTP1,99,99,98,98,99,99,98,98,99,99,98,98,99,99,99,99,98,97,96,96,99,99,99,97,98,98,97,97,97,98,97,97,97,97,94,89,88,86,83,,,
ECAR,TUR,Türkiye,DTP1,95,99,99,99,98,99,98,97,99,97,98,98,97,97,98,92,92,86,76,82,95,92,92,93,92,89,86,95,91,91,89,94,92,95,95,70,78,79,79,80,84,67
ECAR,TKM,Turkmenistan,DTP1,99,99,99,99,99,99,99,99,99,98,98,99,98,98,99,99,99,98,96,99,96,97,99,99,98,98,97,96,90,94,,,,,,,,,,,,
EAPR,TUV,Tuvalu,DTP1,99,99,99,99,99,99,99,99,99,99,99,99,97,99,99,99,99,99,99,99,99,93,84,98,91,98,95,99,94,88,90,99,95,96,81,90,76,62,92,89,73,61
ESAR,UGA,Uganda,DTP1,97,94,96,97,99,99,97,93,92,92,91,87,96,87,93,85,90,88,86,84,82,80,78,79,79,80,81,82,80,77,75,72,70,67,55,45,36,36,36,33,29,
ECAR,UKR,Ukraine,DTP1,91,93,89,87,65,42,59,59,76,76,50,52,71,90,99,99,99,99,99,99,99,99,99,98,99,99,98,98,97,96,,,,,,,,,,,,
MENA,ARE,United Arab Emirates,DTP1,96,90,99,99,97,99,99,99,98,96,95,94,95,96,97,97,97,96,96,96,96,96,96,97,97,96,96,96,96,95,95,95,94,94,93,92,91,81,74,68,70,32
Non-programme,GBR,United Kingdom,DTP1,97,97,97,98,98,98,98,98,98,98,98,98,97,97,97,97,97,97,97,97,97,97,97,97,97,97,97,97,97,97,96,94,92,91,90,86,85,85,81,77,71,66
ESAR,TZA,United Republic of Tanzania,DTP1,82,88,91,91,93,95,97,99,99,99,96,98,90,88,89,94,95,99,99,96,95,92,90,96,92,94,93,94,94,94,93,92,91,95,92,90,86,80,76,74,78,81
Non-programme,USA,United States,DTP1,97,97,97,97,97,98,98,98,98,97,98,98,98,99,99,99,99,99,99,97,98,99,99,98,98,98,98,97,96,94,95,96,97,98,98,98,98,98,98,98,98,98
LACR,URY,Uruguay,DTP1,95,98,99,96,97,97,99,99,98,98,99,98,99,98,98,99,99,98,98,99,99,92,94,95,97,97,97,97,97,97,98,98,96,94,95,88,84,83,90,86,80,77
ECAR,UZB,Uzbekistan,DTP1,99,96,96,99,99,99,99,99,99,99,99,99,99,99,98,96,99,99,99,99,99,99,99,99,98,98,96,86,83,94,,,,,,,,,,,,
EAPR,VUT,Vanuatu,DTP1,71,84,96,94,92,94,90,94,92,90,88,86,84,82,80,78,79,80,82,83,84,85,87,88,89,86,90,90,95,91,94,91,82,80,79,56,55,53,52,46,,
LACR,VEN,Venezuela (Bolivarian Republic of),DTP1,73,73,85,84,95,97,98,88,90,90,90,90,86,87,70,79,98,93,88,79,82,92,99,90,82,80,87,84,87,86,84,84,80,79,80,80,73,58,80,77,77,79
EAPR,VNM,Viet Nam,DTP1,87,96,96,78,98,96,98,95,83,99,97,93,97,97,92,94,98,98,99,85,99,97,97,98,98,97,97,97,97,96,96,96,96,88,74,68,67,24,22,,,
MENA,YEM,Yemen,DTP1,82,83,81,75,76,76,77,82,82,77,79,84,84,85,88,86,88,89,77,72,87,88,84,75,65,72,69,58,77,74,61,94,79,61,41,35,33,27,24,22,21,18
ESAR,ZMB,Zambia,DTP1,94,88,94,94,95,96,97,96,86,86,87,92,96,95,93,92,92,93,93,94,94,94,94,94,94,94,97,96,95,94,94,97,94,94,94,86,86,81,73,,,
ESAR,ZWE,Zimbabwe,DTP1,93,93,94,94,94,94,94,98,98,99,99,95,87,89,86,83,80,77,79,81,83,84,86,88,95,96,96,95,95,95,95,96,95,95,94,91,84,82,77,71,64,
