"country","iso_code","region","income_group","gavi_status","predicts_2020","actuals_2020","cov_delta"
"Afghanistan","AFG","South Asia","LIC","Gavi - ISF","73.6%","70.0%","-3.6%"
"Andorra","AND","Western Europe","HIC","Never Gavi","98.2%","99.0%","0.8%"
"Angola","AGO","Eastern & Southern Africa","LMIC","Gavi - FSF","57.0%","51.0%","-6.0%"
"Antigua and Barbuda","ATG","Latin America & Caribbean","HIC","Never Gavi","96.1%","96.0%","-0.1%"
"Argentina","ARG","Latin America & Caribbean","UMIC","Never Gavi","85.3%","74.0%","-11.3%"
"Australia","AUS","East Asia & Pacific","HIC","Never Gavi","95.0%","95.0%","0.0%"
"Austria","AUT","Western Europe","HIC","Never Gavi","85.0%","85.0%","0.0%"
"Azerbaijan","AZE","Eastern Europe & Central Asia","UMIC","Gavi - FSF","94.9%","79.0%","-15.9%"
"Bahrain","BHR","Middle East & North Africa","HIC","Never Gavi","98.1%","98.0%","-0.1%"
"Bangladesh","BGD","South Asia","LMIC","Gavi - PT","98.0%","98.0%","0.0%"
"Barbados","BRB","Latin America & Caribbean","HIC","Never Gavi","90.6%","85.0%","-5.5%"
"Belarus","BLR","Eastern Europe & Central Asia","UMIC","Never Gavi","95.5%","97.0%","1.5%"
"Belize","BLZ","Latin America & Caribbean","LMIC","Never Gavi","95.0%","79.0%","-16.0%"
"Benin","BEN","West & Central Africa","LMIC","Gavi - ISF","75.7%","72.0%","-3.7%"
"Bhutan","BTN","South Asia","LMIC","Gavi - FSF","97.0%","95.0%","-2.0%"
"Bolivia (Plurinational State of)","BOL","Latin America & Caribbean","LMIC","Gavi - FSF","76.6%","68.0%","-8.6%"
"Botswana","BWA","Eastern & Southern Africa","UMIC","Never Gavi","95.0%","95.0%","0.0%"
"Brunei Darussalam","BRN","East Asia & Pacific","HIC","Never Gavi","98.4%","99.0%","0.6%"
"Bulgaria","BGR","Eastern Europe & Central Asia","UMIC","Never Gavi","93.0%","91.0%","-2.0%"
"Burkina Faso","BFA","West & Central Africa","LIC","Gavi - ISF","91.0%","91.0%","0.0%"
"Burundi","BDI","Eastern & Southern Africa","LIC","Gavi - ISF","93.0%","93.0%","0.0%"
"Cabo Verde","CPV","West & Central Africa","LMIC","Never Gavi","95.4%","93.0%","-2.4%"
"Cambodia","KHM","East Asia & Pacific","LMIC","Gavi - PT","92.0%","92.0%","0.0%"
"Cameroon","CMR","West & Central Africa","LMIC","Gavi - PT","67.4%","69.0%","1.6%"
"Canada","CAN","North America","HIC","Never Gavi","90.9%","91.0%","0.1%"
"Central African Republic","CAF","West & Central Africa","LIC","Gavi - ISF","43.8%","42.0%","-1.8%"
"Chad","TCD","West & Central Africa","LIC","Gavi - ISF","50.0%","52.0%","2.0%"
"Chile","CHL","Latin America & Caribbean","HIC","Never Gavi","94.6%","93.0%","-1.6%"
"China","CHN","East Asia & Pacific","UMIC","Never Gavi","99.0%","99.0%","0.0%"
"Colombia","COL","Latin America & Caribbean","UMIC","Never Gavi","92.8%","88.0%","-4.8%"
"Comoros","COM","Eastern & Southern Africa","LMIC","Gavi - ISF","91.0%","87.0%","-4.0%"
"Congo","COG","West & Central Africa","LMIC","Gavi - ISF","79.0%","73.0%","-6.0%"
"Costa Rica","CRI","Latin America & Caribbean","UMIC","Never Gavi","95.0%","95.0%","0.0%"
"Cote d'Ivoire","CIV","West & Central Africa","LMIC","Gavi - PT","84.0%","80.0%","-4.0%"
"Cuba","CUB","Latin America & Caribbean","UMIC","Gavi - FSF","99.0%","99.0%","0.0%"
"Democratic People's Republic of Korea","PRK","East Asia & Pacific","LIC","Gavi - ISF","97.0%","97.0%","0.0%"
"Democratic Republic of the Congo","COD","West & Central Africa","LIC","Gavi - ISF","57.0%","57.0%","0.0%"
"Denmark","DNK","Western Europe","HIC","Never Gavi","96.6%","97.0%","0.4%"
"Djibouti","DJI","Eastern & Southern Africa","LMIC","Gavi - PT","85.0%","70.0%","-15.0%"
"Dominica","DMA","Latin America & Caribbean","UMIC","Never Gavi","97.2%","97.0%","-0.2%"
"Dominican Republic","DOM","Latin America & Caribbean","UMIC","Never Gavi","89.0%","82.0%","-7.0%"
"Ecuador","ECU","Latin America & Caribbean","UMIC","Never Gavi","85.2%","70.0%","-15.2%"
"Egypt","EGY","Middle East & North Africa","LMIC","Never Gavi","94.6%","94.0%","-0.6%"
"Equatorial Guinea","GNQ","West & Central Africa","UMIC","Never Gavi","53.0%","53.0%","0.0%"
"Eritrea","ERI","Eastern & Southern Africa","LIC","Gavi - ISF","94.8%","95.0%","0.2%"
"Estonia","EST","Western Europe","HIC","Never Gavi","91.0%","91.0%","0.0%"
"Eswatini","SWZ","Eastern & Southern Africa","LMIC","Never Gavi","90.0%","83.0%","-7.0%"
"Ethiopia","ETH","Eastern & Southern Africa","LIC","Gavi - ISF","70.0%","71.0%","1.0%"
"Finland","FIN","Western Europe","HIC","Never Gavi","91.0%","91.0%","0.0%"
"Gabon","GAB","West & Central Africa","UMIC","Never Gavi","70.0%","63.0%","-7.0%"
"Georgia","GEO","Eastern Europe & Central Asia","UMIC","Gavi - FSF","94.0%","88.0%","-6.0%"
"Ghana","GHA","West & Central Africa","LMIC","Gavi - PT","97.0%","94.0%","-3.0%"
"Greece","GRC","Western Europe","HIC","Never Gavi","99.0%","99.0%","0.0%"
"Grenada","GRD","Latin America & Caribbean","UMIC","Never Gavi","95.4%","72.0%","-23.4%"
"Guatemala","GTM","Latin America & Caribbean","UMIC","Never Gavi","84.9%","83.0%","-1.9%"
"Guinea","GIN","West & Central Africa","LIC","Gavi - ISF","47.8%","47.0%","-0.8%"
"Guyana","GUY","Latin America & Caribbean","UMIC","Gavi - FSF","98.8%","99.0%","0.2%"
"Honduras","HND","Latin America & Caribbean","LMIC","Gavi - FSF","89.7%","80.0%","-9.7%"
"India","IND","South Asia","LMIC","Gavi - AT","92.7%","85.0%","-7.7%"
"Indonesia","IDN","East Asia & Pacific","LMIC","Gavi - FSF","85.0%","77.0%","-8.0%"
"Iran (Islamic Republic of)","IRN","Middle East & North Africa","LMIC","Never Gavi","98.5%","99.0%","0.5%"
"Iraq","IRQ","Middle East & North Africa","UMIC","Never Gavi","81.3%","74.0%","-7.3%"
"Ireland","IRL","Western Europe","HIC","Never Gavi","94.4%","94.0%","-0.4%"
"Israel","ISR","Middle East & North Africa","HIC","Never Gavi","98.0%","98.0%","0.0%"
"Italy","ITA","Western Europe","HIC","Never Gavi","95.6%","94.0%","-1.6%"
"Jamaica","JAM","Latin America & Caribbean","UMIC","Never Gavi","94.7%","96.0%","1.3%"
"Japan","JPN","East Asia & Pacific","HIC","Never Gavi","97.5%","96.0%","-1.5%"
"Kazakhstan","KAZ","Eastern Europe & Central Asia","UMIC","Never Gavi","95.9%","88.0%","-7.9%"
"Kenya","KEN","Eastern & Southern Africa","LMIC","Gavi - PT","91.0%","89.0%","-2.0%"
"Kiribati","KIR","East Asia & Pacific","LMIC","Gavi - FSF","92.7%","92.0%","-0.7%"
"Kyrgyzstan","KGZ","Eastern Europe & Central Asia","LMIC","Gavi - PT","95.3%","87.0%","-8.3%"
"Lao People's Democratic Republic","LAO","East Asia & Pacific","LMIC","Gavi - AT","80.0%","79.0%","-1.0%"
"Latvia","LVA","Western Europe","HIC","Never Gavi","98.2%","99.0%","0.8%"
"Lebanon","LBN","Middle East & North Africa","UMIC","Never Gavi","83.0%","71.0%","-12.0%"
"Lesotho","LSO","Eastern & Southern Africa","LMIC","Gavi - PT","87.8%","87.0%","-0.8%"
"Liberia","LBR","West & Central Africa","LIC","Gavi - ISF","70.0%","65.0%","-5.0%"
"Lithuania","LTU","Western Europe","HIC","Never Gavi","93.2%","91.0%","-2.2%"
"Luxembourg","LUX","Western Europe","HIC","Never Gavi","99.0%","99.0%","0.0%"
"Madagascar","MDG","Eastern & Southern Africa","LIC","Gavi - ISF","69.7%","68.0%","-1.7%"
"Malawi","MWI","Eastern & Southern Africa","LIC","Gavi - ISF","88.9%","94.0%","5.1%"
"Malaysia","MYS","East Asia & Pacific","UMIC","Never Gavi","97.9%","98.0%","0.1%"
"Maldives","MDV","South Asia","UMIC","Never Gavi","97.9%","99.0%","1.1%"
"Mali","MLI","West & Central Africa","LIC","Gavi - ISF","75.5%","70.0%","-5.5%"
"Malta","MLT","Western Europe","HIC","Never Gavi","96.6%","98.0%","1.4%"
"Mauritania","MRT","West & Central Africa","LMIC","Gavi - PT","74.1%","71.0%","-3.1%"
"Mauritius","MUS","Eastern & Southern Africa","UMIC","Never Gavi","95.9%","93.0%","-2.9%"
"Mexico","MEX","Latin America & Caribbean","UMIC","Never Gavi","82.0%","74.0%","-8.0%"
"Micronesia (Federated States of)","FSM","East Asia & Pacific","LMIC","Never Gavi","80.2%","83.0%","2.8%"
"Mongolia","MNG","East Asia & Pacific","LMIC","Gavi - FSF","97.8%","96.0%","-1.8%"
"Mozambique","MOZ","Eastern & Southern Africa","LIC","Gavi - ISF","88.0%","79.0%","-9.0%"
"Myanmar","MMR","East Asia & Pacific","LMIC","Gavi - PT","90.0%","84.0%","-6.0%"
"Nauru","NRU","East Asia & Pacific","HIC","Never Gavi","96.0%","95.0%","-1.0%"
"Nepal","NPL","South Asia","LMIC","Gavi - ISF","94.8%","84.0%","-10.8%"
"New Zealand","NZL","East Asia & Pacific","HIC","Never Gavi","92.0%","92.0%","0.0%"
"Nicaragua","NIC","Latin America & Caribbean","LMIC","Gavi - AT","98.0%","92.0%","-6.0%"
"Niger","NER","West & Central Africa","LIC","Gavi - ISF","83.5%","81.0%","-2.5%"
"Nigeria","NGA","West & Central Africa","LMIC","Gavi - AT","57.0%","57.0%","0.0%"
"Norway","NOR","Western Europe","HIC","Never Gavi","97.0%","97.0%","0.0%"
"Pakistan","PAK","South Asia","LMIC","Gavi - PT","84.0%","77.0%","-7.0%"
"Palau","PLW","East Asia & Pacific","HIC","Never Gavi","94.6%","96.0%","1.4%"
"Panama","PAN","Latin America & Caribbean","UMIC","Never Gavi","88.0%","74.0%","-14.0%"
"Papua New Guinea","PNG","East Asia & Pacific","LMIC","Gavi - AT","35.0%","39.0%","4.0%"
"Paraguay","PRY","Latin America & Caribbean","UMIC","Never Gavi","88.1%","79.0%","-9.1%"
"Philippines","PHL","East Asia & Pacific","LMIC","Never Gavi","79.5%","71.0%","-8.5%"
"Qatar","QAT","Middle East & North Africa","HIC","Never Gavi","94.9%","82.0%","-12.9%"
"Republic of Moldova","MDA","Eastern Europe & Central Asia","UMIC","Gavi - FSF","91.0%","86.0%","-5.0%"
"Romania","ROU","Eastern Europe & Central Asia","UMIC","Never Gavi","88.0%","87.0%","-1.0%"
"Russian Federation","RUS","Eastern Europe & Central Asia","UMIC","Never Gavi","97.0%","97.0%","0.0%"
"Rwanda","RWA","Eastern & Southern Africa","LIC","Gavi - ISF","97.7%","91.0%","-6.7%"
"Saint Kitts and Nevis","KNA","Latin America & Caribbean","HIC","Never Gavi","97.8%","99.0%","1.2%"
"Saint Lucia","LCA","Latin America & Caribbean","UMIC","Never Gavi","94.5%","86.0%","-8.5%"
"Saint Vincent and the Grenadines","VCT","Latin America & Caribbean","UMIC","Never Gavi","98.2%","97.0%","-1.2%"
"San Marino","SMR","Western Europe","HIC","Never Gavi","88.0%","89.0%","1.0%"
"Saudi Arabia","SAU","Middle East & North Africa","HIC","Never Gavi","96.0%","95.0%","-1.0%"
"Senegal","SEN","West & Central Africa","LMIC","Gavi - PT","97.3%","91.0%","-6.3%"
"Seychelles","SYC","Eastern & Southern Africa","HIC","Never Gavi","98.5%","97.0%","-1.5%"
"Sierra Leone","SLE","West & Central Africa","LIC","Gavi - ISF","95.0%","91.0%","-4.0%"
"Slovakia","SVK","Western Europe","HIC","Never Gavi","97.6%","97.0%","-0.6%"
"Slovenia","SVN","Western Europe","HIC","Never Gavi","94.9%","95.0%","0.1%"
"Somalia","SOM","Eastern & Southern Africa","LIC","Gavi - ISF","42.0%","42.0%","0.0%"
"South Africa","ZAF","Eastern & Southern Africa","UMIC","Never Gavi","85.0%","84.0%","-1.0%"
"Spain","ESP","Western Europe","HIC","Never Gavi","96.5%","98.0%","1.5%"
"Sri Lanka","LKA","South Asia","LMIC","Gavi - FSF","99.0%","96.0%","-3.0%"
"State of Palestine","PSE","Middle East & North Africa","LMIC","Never Gavi","99.0%","99.0%","0.0%"
"Sudan","SDN","Eastern & Southern Africa","LIC","Gavi - AT","94.6%","90.0%","-4.6%"
"Sweden","SWE","Western Europe","HIC","Never Gavi","98.0%","97.0%","-1.0%"
"Switzerland","CHE","Western Europe","HIC","Never Gavi","96.2%","96.0%","-0.2%"
"Syrian Arab Republic","SYR","Middle East & North Africa","LIC","Gavi - ISF","54.0%","49.0%","-5.0%"
"Tajikistan","TJK","Eastern Europe & Central Asia","LMIC","Gavi - ISF","97.0%","97.0%","0.0%"
"Togo","TGO","West & Central Africa","LIC","Gavi - ISF","84.0%","82.0%","-2.0%"
"Tonga","TON","East Asia & Pacific","UMIC","Never Gavi","98.1%","99.0%","0.9%"
"Tunisia","TUN","Middle East & North Africa","LMIC","Never Gavi","92.0%","92.0%","0.0%"
"Turkey","TUR","Eastern Europe & Central Asia","UMIC","Never Gavi","99.0%","98.0%","-1.0%"
"Turkmenistan","TKM","Eastern Europe & Central Asia","UMIC","Never Gavi","96.9%","98.0%","1.1%"
"Tuvalu","TUV","East Asia & Pacific","UMIC","Never Gavi","93.4%","95.0%","1.6%"
"Uganda","UGA","Eastern & Southern Africa","LIC","Gavi - ISF","96.2%","89.0%","-7.2%"
"Ukraine","UKR","Eastern Europe & Central Asia","LMIC","Gavi - FSF","80.0%","81.0%","1.0%"
"United Arab Emirates","ARE","Middle East & North Africa","HIC","Never Gavi","99.0%","90.0%","-9.0%"
"United Kingdom","GBR","Western Europe","HIC","Never Gavi","93.0%","93.0%","0.0%"
"United Republic of Tanzania","TZA","Eastern & Southern Africa","LMIC","Gavi - PT","89.0%","86.0%","-3.0%"
"United States","USA","North America","HIC","Never Gavi","94.3%","93.0%","-1.3%"
"Uruguay","URY","Latin America & Caribbean","HIC","Never Gavi","94.9%","92.0%","-2.9%"
"Uzbekistan","UZB","Eastern Europe & Central Asia","LMIC","Gavi - AT","96.8%","95.0%","-1.8%"
"Vanuatu","VUT","East Asia & Pacific","LMIC","Never Gavi","91.0%","78.0%","-13.0%"
"Viet Nam","VNM","East Asia & Pacific","LMIC","Gavi - FSF","91.1%","94.0%","2.9%"
"Yemen","YEM","Middle East & North Africa","LIC","Gavi - ISF","76.4%","72.0%","-4.4%"
"Zambia","ZMB","Eastern & Southern Africa","LMIC","Gavi - PT","86.3%","84.0%","-2.3%"
"Zimbabwe","ZWE","Eastern & Southern Africa","LMIC","Gavi - ISF","90.0%","86.0%","-4.0%"
