Country,Surviving infants
Cambodia,352521
China,16086657
Dem. People's Republic of Korea,350814
Fiji,18112
Indonesia,4689610
Kiribati,3104
Lao People's Democratic Republic,158882
Malaysia,528868
Micronesia (Fed. States of),2544
Mongolia,72552
Myanmar,905655
Papua New Guinea,228176
Philippines,2142391
Samoa,4701
Solomon Islands,21277
Thailand,691597
Timor-Leste,36952
Tonga,2473
Vanuatu,8654
Viet Nam,1541383
Albania,32639
Armenia,38921
Azerbaijan,153771
Belarus,107637
Bosnia and Herzegovina,25444
Bulgaria,60653
Georgia,51021
Kazakhstan,365668
Kyrgyzstan,148413
Montenegro,7257
North Macedonia,21604
Republic of Moldova,38910
Romania,182824
Russian Federation,1756664
Serbia,80844
Tajikistan,270481
Turkey,1290580
Turkmenistan,129040
Ukraine,393150
Uzbekistan,664069
Belize,7962
Bolivia (Plurinational State of),240642
Brazil,2825032
Colombia,718632
Costa Rica,67783
Cuba,110221
Dominican Republic,199478
Ecuador,333092
El Salvador,114102
Grenada,1761
Guatemala,419559
Guyana,14925
Haiti,255229
Honduras,205825
Jamaica,45942
Mexico,2163632
Nicaragua,129019
Paraguay,140691
Peru,568231
Saint Lucia,2114
Saint Vincent and the Grenadines,1524
Suriname,10414
Venezuela (Bolivarian Republic of),495337
Algeria,975662
Djibouti,19684
Egypt,2526074
Iran (Islamic Republic of),1485489
Iraq,1110719
Jordan,210916
Lebanon,114637
Libya,120886
Morocco,656057
State of Palestine,141786
Syrian Arab Republic,414928
Tunisia,193610
Yemen,837019
Afghanistan,1157321
Bangladesh,2820623
Bhutan,12608
India,23368880
Maldives,6795
Nepal,547858
Pakistan,5691818
Sri Lanka,324141
Angola,1236834
Benin,405641
Botswana,53898
Burkina Faso,736290
Burundi,431981
Cabo Verde,10197
Cameroon,862364
Central African Republic,156219
Chad,629696
Comoros,25562
Congo,170899
Côte d'Ivoire,876019
Democratic Republic of the Congo,3374241
Equatorial Guinea,42590
Eritrea,100941
Eswatini,28357
Ethiopia,3499225
Gabon,65052
Gambia,87199
Ghana,860082
Guinea,445239
Guinea-Bissau,63401
Kenya,1455333
Lesotho,52510
Liberia,155704
Madagascar,868735
Malawi,618131
Mali,772691
Mauritania,145100
Mauritius,12588
Mozambique,1095851
Namibia,68149
Niger,1051330
Nigeria,7196873
Rwanda,387519
Sao Tome and Principe,6600
Senegal,543533
Sierra Leone,238942
Somalia,616683
South Africa,1142628
South Sudan,365656
Sudan,1327273
Togo,255632
Uganda,1599420
United Republic of Tanzania,2071868
Zambia,625937
Zimbabwe,416366
Antigua and Barbuda,1450
Argentina,744894
Aruba,1248
Australia,317554
Austria,89448
Bahamas,5393
Bahrain,21974
Barbados,3016
Belgium,123708
Brunei Darussalam,6110
Canada,385184
Channel Islands,1687
Chile,225603
"China, Hong Kong SAR",82736
"China, Macao SAR",6944
"China, Taiwan Province of China",199315
Croatia,35209
Curaçao,1723
Cyprus,12031
Czechia,108083
Denmark,63072
Estonia,13378
Finland,49030
France,717123
French Polynesia,3958
Germany,787801
Greece,76072
Guam,2734
Hungary,90708
Iceland,4001
Ireland,59191
Israel,169839
Italy,436862
Japan,907427
Kuwait,53411
Latvia,19599
Lithuania,27653
Luxembourg,6479
Malta,4321
Netherlands,172687
New Caledonia,3895
New Zealand,59459
Norway,59919
Oman,89310
Panama,78510
Poland,360699
Portugal,78281
Puerto Rico,19619
Qatar,26513
Republic of Korea,358115
Saudi Arabia,581858
Seychelles,1549
Singapore,49901
Slovakia,55397
Slovenia,19328
Spain,379575
Sweden,119427
Switzerland,88231
Trinidad and Tobago,16748
United Arab Emirates,99509
United Kingdom,768683
United States of America,3935040
United States Virgin Islands,1172
Uruguay,46889
French Guiana,7298
Guadeloupe,4541
Martinique,3571
Mayotte,7380
Réunion,12841
Western Sahara,11289